ID,Keyword
1382417523249983494,-9203122106968659656
1382417523052797959,-9203122106968659656
1382417510142595073,-9203122106968659656
1382417485350178818,-9203122106968659656
1382417470921773060,-9203122106968659656
1382417470309421060,-9203122106968659656
1382417460444467207,-9203122106968659656
1382417422154661888,-9203122106968659656
1382417410154766336,-9203122106968659656
1382417403892629509,-9203122106968659656
1382417391313817600,-9203122106968659656
1382417381868204033,-9203122106968659656
1382417356190666752,-9203122106968659656
1382417347932168193,-9203122106968659656
1382417320115642374,-9203122106968659656
1382417320107241474,-9203122106968659656
1382417258077642752,-9203122106968659656
1382417257175732229,-9203122106968659656
1382417257175732229,-9143357888593557144
1382417247663194123,-9203122106968659656
1382417245398310916,-9203122106968659656
1382417210602311681,-9203122106968659656
1382417198489174019,-9203122106968659656
1382417191686012945,-9203122106968659656
1382417176951283713,-9143357888593557144
1382417168034332675,-9203122106968659656
1382417164540469248,-9203122106968659656
1382417156164395008,-9203122106968659656
1382417117773959171,-9203122106968659656
1382417117169979396,-9203122106968659656
1382417113776857088,-9203122106968659656
1382417081715544066,-9203122106968659656
1382417062350442499,-9203122106968659656
1382417043534671873,-9203122106968659656
1382417011242905600,-9203122106968659656
1382416992976707586,-9203122106968659656
1382416964790874112,-9203122106968659656
1382416952577118214,-9203122106968659656
1382416951209725954,-9203122106968659656
1382416917806350339,-9203122106968659656
1382416909547802634,-9203122106968659656
1382416902006272000,-9203122106968659656
1382416891478675459,-9203122106968659656
1382416890597900289,-9203122106968659656
1382424704938557446,-9203122106968659656
1382424702405206018,-9203122106968659656
1382424037008277504,-9203122106968659656
1382408130546503683,-9203122106968659656
1382347790701985792,-9203122106968659656
1382313949836693505,-9143357888593557144
1382295187607711753,-9203122106968659656
1382295187607711753,-9203122106968659656
1382093785316876298,-9203122106968659656
1382045709113905157,-9203122106968659656
1381993693150728192,-3054746600292690886
1381993693150728192,-9203122106968659656
1381985314680496135,-9203122106968659656
1381979253315604483,-9203122106968659656
1381979253143707649,-9203122106968659656
1381807375808610305,-9203122106968659656
1381720442591981575,-9203122106968659656
1381720442591981575,-3054746600292690886
1381710385976389644,-9203122106968659656
1381696480398958593,-9143357888593557144
1381683342320500738,-9203122106968659656
1381660611646472201,-3054746600292690886
1381660611646472201,-9203122106968659656
